model,feature,importance_mean,importance_std
RandomForest,alpha_score,0.13697376556571858,0.012709299634276085
RandomForest,log_upa,0.12237252718018202,0.013657307065312499
RandomForest,hnd,0.12181292716156344,0.017022237501948482
RandomForest,lowland,0.1110342209977209,0.004756958187531734
RandomForest,built,0.10598156698883912,0.017653038562406007
RandomForest,slope,0.10434988512484174,0.0037876540340673163
RandomForest,sewer_sensor_count_norm,0.10078051053000822,0.009213356576978323
RandomForest,pump_capacity_sum_norm,0.064976273793634,0.007379245664086899
RandomForest,pump_reservoir_capacity_sum_norm,0.04955714806527374,0.005392300902289723
RandomForest,pump_catchment_area_sum_norm,0.04876034934131273,0.004271478376748936
RandomForest,pump_station_count_norm,0.03340082525090547,0.0043161144967805735
RandomForest,water_occ,0.0,0.0
GradientTreeBoost,alpha_score,0.17725827446966608,0.007770492844384118
GradientTreeBoost,slope,0.13432713963674867,0.018905523565253317
GradientTreeBoost,hnd,0.13418486173472438,0.029849531989064523
GradientTreeBoost,log_upa,0.1263034603755842,0.019947747642460562
GradientTreeBoost,sewer_sensor_count_norm,0.11116928780191923,0.01990850567903425
GradientTreeBoost,built,0.10245715694759625,0.01314616126458375
GradientTreeBoost,lowland,0.0995759531424424,0.03430068941232284
GradientTreeBoost,pump_capacity_sum_norm,0.07089563097350804,0.00955605571101022
GradientTreeBoost,pump_reservoir_capacity_sum_norm,0.019243536155474444,0.00987104343786304
GradientTreeBoost,pump_catchment_area_sum_norm,0.017713184219748747,0.005708683617478593
GradientTreeBoost,pump_station_count_norm,0.006871514542587535,0.002129185342138134
GradientTreeBoost,water_occ,0.0,0.0
