model,model_family,accuracy_mean,accuracy_std,kappa_mean,kappa_std,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,average_precision_mean,average_precision_std,precision_mean,precision_std,recall_mean,recall_std,specificity_mean,specificity_std,f1_mean,f1_std,balanced_accuracy_mean,balanced_accuracy_std,negative_predictive_value_mean,negative_predictive_value_std,false_positive_rate_mean,false_positive_rate_std,false_negative_rate_mean,false_negative_rate_std
RandomForest,random_forest,0.833,0.034928498393145976,0.666,0.06985699678629195,0.90886,0.039924391823796146,0.8991271753277728,0.03903904312095829,0.8991271753277728,0.03903904312095829,0.8415403816431141,0.033808520801112824,0.8220000000000001,0.07285259089421597,0.844,0.042190046219457975,0.8301290596240982,0.04023682561645424,0.833,0.034928498393145976,0.8298230306918318,0.05958367455443595,0.156,0.042190046219457975,0.178,0.07285259089421599
GradientTreeBoost,gradient_tree_boost,0.8404999999999999,0.053834236318536184,0.6849999999999999,0.10105691465703867,0.90961,0.04415249002038279,0.8989863564146887,0.04484094196977366,0.8989863564146887,0.04484094196977366,0.8438310477590452,0.04766163505401457,0.835,0.07416198487095664,0.8460000000000001,0.04574385204593073,0.8387902428279734,0.05785869436816159,0.8404999999999999,0.053834236318536205,0.8390035661069517,0.06399112064589267,0.154,0.04574385204593073,0.16499999999999998,0.07416198487095664
