percentile,top_percent,evaluated_point_recall_mean,evaluated_point_recall_std,all_point_recall_mean,evaluated_point_lift_mean,hotspot_area_share_mean,hit_points_mean,hotspot_area_km2_mean
80,20,0.8290420332355817,0.05678207473795531,0.8290420332355817,4.1122103508457855,0.20160099422222263,42.2,108.72661403167358
90,10,0.640553274682307,0.09247263613298326,0.640553274682307,6.398181503227944,0.10008579616002648,32.8,53.97785745614358
95,5,0.3984281524926686,0.11377796880343942,0.3984281524926686,8.22401416952811,0.04847515900031868,20.8,26.14342217450573
