model,model_family,params,accuracy_mean,accuracy_std,kappa_mean,kappa_std,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,average_precision_mean,average_precision_std,precision_mean,precision_std,recall_mean,recall_std,specificity_mean,specificity_std,f1_mean,f1_std,balanced_accuracy_mean,balanced_accuracy_std,negative_predictive_value_mean,negative_predictive_value_std,false_positive_rate_mean,false_positive_rate_std,false_negative_rate_mean,false_negative_rate_std
RandomForest,random_forest,"{""numberOfTrees"": 100, ""variablesPerSplit"": 3, ""minLeafPopulation"": 2, ""bagFraction"": 0.7, ""seed"": 13}",0.833,0.034928498393145976,0.666,0.06985699678629195,0.90886,0.039924391823796146,0.8991271753277728,0.03903904312095829,0.8991271753277728,0.03903904312095829,0.8415403816431141,0.033808520801112824,0.8220000000000001,0.07285259089421597,0.844,0.042190046219457975,0.8301290596240982,0.04023682561645424,0.833,0.034928498393145976,0.8298230306918318,0.05958367455443595,0.156,0.042190046219457975,0.178,0.07285259089421599
GradientTreeBoost,gradient_tree_boost,"{""numberOfTrees"": 100, ""shrinkage"": 0.05, ""samplingRate"": 0.7, ""maxNodes"": 32, ""seed"": 13}",0.8390000000000001,0.05334439989352209,0.6779999999999999,0.10668879978704418,0.911115,0.044643779661896914,0.901034019764188,0.04566158729518186,0.901034019764188,0.04566158729518186,0.8388611902437129,0.04461356849316848,0.835,0.07416198487095664,0.8400000000000001,0.04373213921133975,0.8362062869139784,0.055441215043879444,0.8375,0.051173723726146814,0.8383276566782906,0.06329531041741163,0.15999999999999998,0.04373213921133975,0.16499999999999998,0.07416198487095664
CART,cart,"{""maxNodes"": 32, ""minLeafPopulation"": 2}",0.776,0.04512482686947396,0.552,0.09024965373894792,0.816455,0.055024915237326805,0.6725604300052186,0.08219169716638114,0.6725604300052186,0.08219169716638114,0.7712699433559447,0.03245731254403621,0.783,0.07846973939041724,0.7689999999999999,0.028151376520518474,0.7762403720669774,0.052351156081033634,0.776,0.04512482686947396,0.783471968508095,0.06328998271690807,0.231,0.028151376520518474,0.217,0.07846973939041724
KNN,knn,"{""k"": 9, ""searchMethod"": ""AUTO"", ""metric"": ""EUCLIDEAN""}",0.697,0.06308228752986057,0.394,0.12616457505972115,0.769005,0.05831411077625209,0.6522157782301379,0.0455500335757293,0.6522157782301379,0.0455500335757293,0.6611883827851316,0.046894741178605204,0.8029999999999999,0.11707903313574126,0.591,0.056942953910031756,0.7234582285837375,0.07093832817970984,0.697,0.06308228752986057,0.7621440702169954,0.1062109778623989,0.409,0.056942953910031756,0.197,0.11707903313574128
