model,percentile,top_percent,evaluated_point_recall_mean,evaluated_point_recall_std,all_point_recall_mean,evaluated_point_lift_mean,hotspot_area_share_mean,hit_points_mean,hotspot_area_km2_mean
Hybrid-basic,80,20,0.6749051808406648,0.032171911969969484,0.6749051808406648,3.3473742048799826,0.2016258984486127,34.4,108.7468175503449
Hybrid-basic,90,10,0.3767644183773216,0.08842130595550574,0.3767644183773216,3.7656162271791835,0.10002627958533927,19.8,53.94911893760999
Hybrid-basic,95,5,0.2300156402737048,0.0659894828396417,0.2300156402737048,4.565152184642384,0.05047804093489624,12.0,27.225303644437513
