grade,percentile_range,probability_min,probability_max,area_km2,area_share,valid_positive_points,evaluated_positive_points,excluded_positive_points,hit_points,evaluated_point_share,all_point_share,lift
1,p0-p50,0.030111467274165565,0.22856224866681052,272.4466539376975,0.4983722637467411,31,31,0,0,0.0,0.0,0.0
2,p50-p75,0.22856224866681052,0.451173821618457,138.27156200130236,0.25293285995777093,31,31,0,3,0.0967741935483871,0.0967741935483871,0.38260822877875295
3,p75-p90,0.451173821618457,0.6698896607803342,81.35138369822121,0.1488117863318798,31,31,0,10,0.3225806451612903,0.3225806451612903,2.16770897731092
4,p90-p95,0.6698896607803342,0.7753794191864121,28.108068767215382,0.05141660453010953,31,31,0,7,0.22580645161290322,0.22580645161290322,4.391702907582532
5,p95-p100,0.7753794191864121,0.9533221289285391,26.495318349391535,0.04846648543349852,31,31,0,11,0.3548387096774194,0.3548387096774194,7.321321249181521
