grade_range,min_grade,area_km2,area_share,valid_positive_points,evaluated_positive_points,excluded_positive_points,hit_points,evaluated_point_recall,all_point_recall,lift
5+,5,26.495318349391535,0.04846648543349852,31,31,0,11,0.3548387096774194,0.3548387096774194,7.321321249181521
4+,4,54.60338711660692,0.09988308996360805,31,31,0,18,0.5806451612903226,0.5806451612903226,5.813247883118935
3+,3,135.95477081482812,0.24869487629548784,31,31,0,28,0.9032258064516129,0.9032258064516129,3.6318633496029142
2+,2,274.2263328161305,0.5016277362532588,31,31,0,31,1.0,1.0,1.9935101824097021
1+,1,546.672986753828,1.0,31,31,0,31,1.0,1.0,1.0
