grade,percentile_range,probability_min,probability_max,area_km2
1,p0-p50,0.030111467274165565,0.22856224866681052,272.4466539376975
2,p50-p75,0.22856224866681052,0.451173821618457,138.27156200130236
3,p75-p90,0.451173821618457,0.6698896607803342,81.35138369822121
4,p90-p95,0.6698896607803342,0.7753794191864121,28.108068767215382
5,p95-p100,0.7753794191864121,0.9533221289285391,26.495318349391535
