feature,importance_mean,importance_std
log_upa,0.18809703009812218,0.0160487635545134
alpha_score,0.18148131274876106,0.015440260032353841
slope,0.168686808658202,0.011705301398892264
built,0.16546863442438084,0.018694700858563708
hnd,0.1489391553563731,0.011299218317015186
lowland,0.14732031154125022,0.011853120831317138
water_occ,6.747172910613234e-06,1.5087137284076303e-05
