model,percentile,top_percent,evaluated_point_recall_mean,evaluated_point_recall_std,all_point_recall_mean,evaluated_point_lift_mean,hotspot_area_share_mean,hit_points_mean,hotspot_area_km2_mean
Hybrid-basic,80,20,0.6749051808406648,0.032171911969969484,0.6749051808406648,3.3473742048799826,0.2016258984486127,34.4,108.7468175503449
Hybrid-basic,90,10,0.3767644183773216,0.08842130595550574,0.3767644183773216,3.7656162271791835,0.10002627958533927,19.8,53.94911893760999
Hybrid-basic,95,5,0.2300156402737048,0.0659894828396417,0.2300156402737048,4.565152184642384,0.05047804093489624,12.0,27.225303644437513
Hybrid-no-alpha,80,20,0.5424261974584554,0.09704115167999784,0.5424261974584554,2.6632492805962764,0.20364682020844374,27.4,109.83680059116878
Hybrid-no-alpha,90,10,0.37408602150537634,0.10314221525829959,0.37408602150537634,3.6715315439994924,0.10235964397282951,19.2,55.20761773799869
Hybrid-no-alpha,95,5,0.1947702834799609,0.0429878882619467,0.1947702834799609,3.8786799805664502,0.050232833030558754,10.0,27.09305089595596
