feature,importance_mean,importance_std
alpha_score,0.17731273292866767,0.007920495600421898
slope,0.13430879457782458,0.01904914016698686
hnd,0.13402778118865624,0.02978467901421444
log_upa,0.1265921898316896,0.01973477798244061
sewer_sensor_count_norm,0.11119670558347086,0.019936802994010232
built,0.10245501375733208,0.013070560305386256
lowland,0.09950193184243943,0.034199802902132245
pump_capacity_sum_norm,0.07054340290282989,0.009843459297540555
pump_reservoir_capacity_sum_norm,0.019144177637775088,0.010255128319016654
pump_catchment_area_sum_norm,0.01797584440329532,0.0053743454016554155
pump_station_count_norm,0.006941425346019251,0.0023313144934833216
water_occ,0.0,0.0
