model,model_backend,model_family,fold,train_positive_count,valid_positive_count,train_sample_count,valid_sample_count,train_label_histogram,valid_label_histogram,valid_confusion,valid_accuracy,valid_kappa,valid_metrics
XGBoost,local,xgboost,0,226,31,400,400,"{""0"": 200, ""1"": 200}","{""0"": 200, ""1"": 200}","[[163, 37], [18, 182]]",0.8625,0.7250000000000001,"{""threshold"": 0.5, ""sample_count"": 400, ""positive_count"": 200, ""negative_count"": 200, ""true_positive"": 182, ""true_negative"": 163, ""false_positive"": 37, ""false_negative"": 18, ""accuracy"": 0.8625, ""precision"": 0.8310502283105022, ""recall"": 0.91, ""sensitivity"": 0.91, ""specificity"": 0.815, ""f1"": 0.8687350835322195, ""balanced_accuracy"": 0.8625, ""negative_predictive_value"": 0.9005524861878453, ""false_positive_rate"": 0.18500000000000005, ""false_negative_rate"": 0.08999999999999997, ""roc_auc"": 0.93615, ""pr_auc"": 0.924777210141373, ""average_precision"": 0.924777210141373}"
XGBoost,local,xgboost,1,191,66,400,400,"{""0"": 200, ""1"": 200}","{""0"": 200, ""1"": 200}","[[163, 37], [46, 154]]",0.7925,0.585,"{""threshold"": 0.5, ""sample_count"": 400, ""positive_count"": 200, ""negative_count"": 200, ""true_positive"": 154, ""true_negative"": 163, ""false_positive"": 37, ""false_negative"": 46, ""accuracy"": 0.7925, ""precision"": 0.806282722513089, ""recall"": 0.77, ""sensitivity"": 0.77, ""specificity"": 0.815, ""f1"": 0.7877237851662405, ""balanced_accuracy"": 0.7925, ""negative_predictive_value"": 0.7799043062200957, ""false_positive_rate"": 0.18500000000000005, ""false_negative_rate"": 0.22999999999999998, ""roc_auc"": 0.876875, ""pr_auc"": 0.8798004661339239, ""average_precision"": 0.8798004661339239}"
XGBoost,local,xgboost,2,207,50,400,400,"{""0"": 200, ""1"": 200}","{""0"": 200, ""1"": 200}","[[175, 25], [28, 172]]",0.8675,0.7350000000000001,"{""threshold"": 0.5, ""sample_count"": 400, ""positive_count"": 200, ""negative_count"": 200, ""true_positive"": 172, ""true_negative"": 175, ""false_positive"": 25, ""false_negative"": 28, ""accuracy"": 0.8675, ""precision"": 0.8730964467005076, ""recall"": 0.86, ""sensitivity"": 0.86, ""specificity"": 0.875, ""f1"": 0.8664987405541562, ""balanced_accuracy"": 0.8674999999999999, ""negative_predictive_value"": 0.8620689655172413, ""false_positive_rate"": 0.125, ""false_negative_rate"": 0.14, ""roc_auc"": 0.94245, ""pr_auc"": 0.9177684586439595, ""average_precision"": 0.9177684586439595}"
XGBoost,local,xgboost,3,197,60,400,400,"{""0"": 200, ""1"": 200}","{""0"": 200, ""1"": 200}","[[156, 44], [34, 166]]",0.805,0.6100000000000001,"{""threshold"": 0.5, ""sample_count"": 400, ""positive_count"": 200, ""negative_count"": 200, ""true_positive"": 166, ""true_negative"": 156, ""false_positive"": 44, ""false_negative"": 34, ""accuracy"": 0.805, ""precision"": 0.7904761904761904, ""recall"": 0.83, ""sensitivity"": 0.83, ""specificity"": 0.78, ""f1"": 0.8097560975609757, ""balanced_accuracy"": 0.8049999999999999, ""negative_predictive_value"": 0.8210526315789474, ""false_positive_rate"": 0.21999999999999997, ""false_negative_rate"": 0.17000000000000004, ""roc_auc"": 0.881925, ""pr_auc"": 0.8643703966728264, ""average_precision"": 0.8643703966728264}"
XGBoost,local,xgboost,4,207,50,400,400,"{""0"": 200, ""1"": 200}","{""0"": 200, ""1"": 200}","[[176, 24], [20, 180]]",0.89,0.78,"{""threshold"": 0.5, ""sample_count"": 400, ""positive_count"": 200, ""negative_count"": 200, ""true_positive"": 180, ""true_negative"": 176, ""false_positive"": 24, ""false_negative"": 20, ""accuracy"": 0.89, ""precision"": 0.8823529411764706, ""recall"": 0.9, ""sensitivity"": 0.9, ""specificity"": 0.88, ""f1"": 0.8910891089108911, ""balanced_accuracy"": 0.89, ""negative_predictive_value"": 0.8979591836734694, ""false_positive_rate"": 0.12, ""false_negative_rate"": 0.09999999999999998, ""roc_auc"": 0.96325, ""pr_auc"": 0.9626204909546213, ""average_precision"": 0.9626204909546213}"
LightGBM,local,lightgbm,0,226,31,400,400,"{""0"": 200, ""1"": 200}","{""0"": 200, ""1"": 200}","[[161, 39], [21, 179]]",0.85,0.7,"{""threshold"": 0.5, ""sample_count"": 400, ""positive_count"": 200, ""negative_count"": 200, ""true_positive"": 179, ""true_negative"": 161, ""false_positive"": 39, ""false_negative"": 21, ""accuracy"": 0.85, ""precision"": 0.8211009174311926, ""recall"": 0.895, ""sensitivity"": 0.895, ""specificity"": 0.805, ""f1"": 0.8564593301435406, ""balanced_accuracy"": 0.8500000000000001, ""negative_predictive_value"": 0.8846153846153846, ""false_positive_rate"": 0.19499999999999995, ""false_negative_rate"": 0.10499999999999998, ""roc_auc"": 0.9386, ""pr_auc"": 0.9350168775089319, ""average_precision"": 0.9350168775089319}"
LightGBM,local,lightgbm,1,191,66,400,400,"{""0"": 200, ""1"": 200}","{""0"": 200, ""1"": 200}","[[162, 38], [50, 150]]",0.78,0.56,"{""threshold"": 0.5, ""sample_count"": 400, ""positive_count"": 200, ""negative_count"": 200, ""true_positive"": 150, ""true_negative"": 162, ""false_positive"": 38, ""false_negative"": 50, ""accuracy"": 0.78, ""precision"": 0.7978723404255319, ""recall"": 0.75, ""sensitivity"": 0.75, ""specificity"": 0.81, ""f1"": 0.7731958762886597, ""balanced_accuracy"": 0.78, ""negative_predictive_value"": 0.7641509433962265, ""false_positive_rate"": 0.18999999999999995, ""false_negative_rate"": 0.25, ""roc_auc"": 0.87005, ""pr_auc"": 0.8775800908321735, ""average_precision"": 0.8775800908321735}"
LightGBM,local,lightgbm,2,207,50,400,400,"{""0"": 200, ""1"": 200}","{""0"": 200, ""1"": 200}","[[177, 23], [30, 170]]",0.8675,0.7350000000000001,"{""threshold"": 0.5, ""sample_count"": 400, ""positive_count"": 200, ""negative_count"": 200, ""true_positive"": 170, ""true_negative"": 177, ""false_positive"": 23, ""false_negative"": 30, ""accuracy"": 0.8675, ""precision"": 0.8808290155440415, ""recall"": 0.85, ""sensitivity"": 0.85, ""specificity"": 0.885, ""f1"": 0.8651399491094147, ""balanced_accuracy"": 0.8674999999999999, ""negative_predictive_value"": 0.855072463768116, ""false_positive_rate"": 0.11499999999999999, ""false_negative_rate"": 0.15000000000000002, ""roc_auc"": 0.938325, ""pr_auc"": 0.9151948363993324, ""average_precision"": 0.9151948363993324}"
LightGBM,local,lightgbm,3,197,60,400,400,"{""0"": 200, ""1"": 200}","{""0"": 200, ""1"": 200}","[[158, 42], [41, 159]]",0.7925,0.585,"{""threshold"": 0.5, ""sample_count"": 400, ""positive_count"": 200, ""negative_count"": 200, ""true_positive"": 159, ""true_negative"": 158, ""false_positive"": 42, ""false_negative"": 41, ""accuracy"": 0.7925, ""precision"": 0.7910447761194029, ""recall"": 0.795, ""sensitivity"": 0.795, ""specificity"": 0.79, ""f1"": 0.7930174563591023, ""balanced_accuracy"": 0.7925, ""negative_predictive_value"": 0.7939698492462312, ""false_positive_rate"": 0.20999999999999996, ""false_negative_rate"": 0.20499999999999996, ""roc_auc"": 0.8763, ""pr_auc"": 0.8518678642361476, ""average_precision"": 0.8518678642361476}"
LightGBM,local,lightgbm,4,207,50,400,400,"{""0"": 200, ""1"": 200}","{""0"": 200, ""1"": 200}","[[179, 21], [21, 179]]",0.895,0.79,"{""threshold"": 0.5, ""sample_count"": 400, ""positive_count"": 200, ""negative_count"": 200, ""true_positive"": 179, ""true_negative"": 179, ""false_positive"": 21, ""false_negative"": 21, ""accuracy"": 0.895, ""precision"": 0.895, ""recall"": 0.895, ""sensitivity"": 0.895, ""specificity"": 0.895, ""f1"": 0.895, ""balanced_accuracy"": 0.895, ""negative_predictive_value"": 0.895, ""false_positive_rate"": 0.10499999999999998, ""false_negative_rate"": 0.10499999999999998, ""roc_auc"": 0.9658, ""pr_auc"": 0.9661945742858313, ""average_precision"": 0.9661945742858313}"
