model,model_backend,model_family,params,accuracy_mean,accuracy_std,kappa_mean,kappa_std,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,average_precision_mean,average_precision_std,precision_mean,precision_std,recall_mean,recall_std,specificity_mean,specificity_std,f1_mean,f1_std,balanced_accuracy_mean,balanced_accuracy_std,negative_predictive_value_mean,negative_predictive_value_std,false_positive_rate_mean,false_positive_rate_std,false_negative_rate_mean,false_negative_rate_std
RandomForest,earth_engine,random_forest,"{""numberOfTrees"": 100, ""variablesPerSplit"": 3, ""minLeafPopulation"": 2, ""bagFraction"": 0.7, ""seed"": 13}",0.833,0.034928498393145976,0.666,0.06985699678629195,0.90886,0.039924391823796146,0.8991271753277728,0.03903904312095829,0.8991271753277728,0.03903904312095829,0.8415403816431141,0.033808520801112824,0.8220000000000001,0.07285259089421597,0.844,0.042190046219457975,0.8301290596240982,0.04023682561645424,0.833,0.034928498393145976,0.8298230306918318,0.05958367455443595,0.156,0.042190046219457975,0.178,0.07285259089421599
GradientTreeBoost,earth_engine,gradient_tree_boost,"{""numberOfTrees"": 100, ""shrinkage"": 0.05, ""samplingRate"": 0.7, ""maxNodes"": 32, ""seed"": 13}",0.8400000000000001,0.05425633603552677,0.682,0.10016236818286595,0.90961,0.04415249002038279,0.8989863564146887,0.04484094196977366,0.8989863564146887,0.04484094196977366,0.8438310477590452,0.04766163505401457,0.835,0.07416198487095664,0.8460000000000001,0.04574385204593073,0.8387902428279734,0.05785869436816159,0.8404999999999999,0.053834236318536205,0.8390035661069517,0.06399112064589267,0.154,0.04574385204593073,0.16499999999999998,0.07416198487095664
XGBoost,local,xgboost,"{""n_estimators"": 200, ""max_depth"": 3, ""learning_rate"": 0.05, ""subsample"": 0.8, ""colsample_bytree"": 0.8, ""objective"": ""binary:logistic"", ""eval_metric"": ""logloss"", ""random_state"": 13, ""n_jobs"": 1}",0.8435,0.042374815633817224,0.687,0.08474963126763445,0.92013,0.03855118107788662,0.9098674045093409,0.03886391512468011,0.9098674045093409,0.03886391512468011,0.836651705835352,0.04031951129914057,0.8539999999999999,0.0568330889535313,0.833,0.043098723879019904,0.8447605631448966,0.043795452933703245,0.8435,0.04237481563381724,0.8523075146355199,0.051783275275610975,0.167,0.043098723879019904,0.146,0.0568330889535313
LightGBM,local,lightgbm,"{""n_estimators"": 200, ""learning_rate"": 0.05, ""num_leaves"": 15, ""subsample"": 0.8, ""colsample_bytree"": 0.8, ""objective"": ""binary"", ""random_state"": 13, ""n_jobs"": 1, ""verbose"": -1}",0.8370000000000001,0.049225247586985287,0.674,0.09845049517397057,0.917815,0.04230906226802953,0.9091708486524833,0.045380664725767836,0.9091708486524833,0.045380664725767836,0.8371694099040339,0.04790740098670279,0.8370000000000001,0.06369850861676433,0.8370000000000001,0.04906628170138837,0.8365625223801434,0.051329805376291546,0.8370000000000001,0.04922524758698528,0.8385617282051916,0.05723683854332428,0.16299999999999998,0.04906628170138836,0.16299999999999998,0.06369850861676433
