model,feature,importance_mean,importance_std
RandomForest,alpha_score,0.13697376556571858,0.012709299634276085
RandomForest,log_upa,0.12237252718018202,0.013657307065312499
RandomForest,hnd,0.12181292716156344,0.017022237501948482
RandomForest,lowland,0.1110342209977209,0.004756958187531734
RandomForest,built,0.10598156698883912,0.017653038562406007
RandomForest,slope,0.10434988512484174,0.0037876540340673163
RandomForest,sewer_sensor_count_norm,0.10078051053000822,0.009213356576978323
RandomForest,pump_capacity_sum_norm,0.064976273793634,0.007379245664086899
RandomForest,pump_reservoir_capacity_sum_norm,0.04955714806527374,0.005392300902289723
RandomForest,pump_catchment_area_sum_norm,0.04876034934131273,0.004271478376748936
RandomForest,pump_station_count_norm,0.03340082525090547,0.0043161144967805735
RandomForest,water_occ,0.0,0.0
GradientTreeBoost,alpha_score,0.17733689396357938,0.007942078515231068
GradientTreeBoost,slope,0.13444723422297772,0.01883714173856608
GradientTreeBoost,hnd,0.1340290377588867,0.02978731298351997
GradientTreeBoost,log_upa,0.1265310800640132,0.019664076032649566
GradientTreeBoost,sewer_sensor_count_norm,0.11111608598555826,0.01988410535461727
GradientTreeBoost,built,0.10241491400582983,0.01310162507701904
GradientTreeBoost,lowland,0.0994502984719316,0.034281944371034066
GradientTreeBoost,pump_capacity_sum_norm,0.07087127820364499,0.009280610974310204
GradientTreeBoost,pump_reservoir_capacity_sum_norm,0.019045716672208866,0.01013323148502755
GradientTreeBoost,pump_catchment_area_sum_norm,0.017790315714245542,0.00556232465633554
GradientTreeBoost,pump_station_count_norm,0.006967144937123991,0.0023049732395540876
GradientTreeBoost,water_occ,0.0,0.0
XGBoost,hnd,0.16164642974925247,0.04303107817089355
XGBoost,alpha_score,0.16101913433008294,0.03476543167936815
XGBoost,sewer_sensor_count_norm,0.11739388810260994,0.024058577254297064
XGBoost,pump_capacity_sum_norm,0.10231564155416155,0.012747604366658182
XGBoost,lowland,0.10191940957988632,0.02133866945893417
XGBoost,pump_reservoir_capacity_sum_norm,0.07803977947835486,0.017450010542248227
XGBoost,pump_catchment_area_sum_norm,0.06403597793603796,0.009191699372372372
XGBoost,built,0.05466199352285235,0.005056843310340479
XGBoost,log_upa,0.054286263072462336,0.010735601797054106
XGBoost,pump_station_count_norm,0.05332353257287507,0.02746369040948717
XGBoost,slope,0.0513579501014242,0.002841410989938463
XGBoost,water_occ,0.0,0.0
LightGBM,alpha_score,0.15376432038403404,0.0173138990809541
LightGBM,built,0.1396385286408414,0.024933731318557018
LightGBM,log_upa,0.1375524586626142,0.02176125805869057
LightGBM,hnd,0.1065920241634093,0.018534326514155024
LightGBM,slope,0.10630631296546666,0.01815477893411541
LightGBM,lowland,0.10538553020560482,0.020415337716897783
LightGBM,sewer_sensor_count_norm,0.10214210581655969,0.01634831867497589
LightGBM,pump_capacity_sum_norm,0.09047859951380743,0.020327623212496843
LightGBM,pump_catchment_area_sum_norm,0.03878040985968299,0.00838424104714427
LightGBM,pump_reservoir_capacity_sum_norm,0.012976949338363575,0.004864367292804344
LightGBM,pump_station_count_norm,0.006382760449615871,0.0059920089541829905
LightGBM,water_occ,0.0,0.0
