model,percentile,top_percent,evaluated_point_recall_mean,evaluated_point_recall_std,all_point_recall_mean,evaluated_point_lift_mean,hotspot_area_share_mean,hit_points_mean,hotspot_area_km2_mean
Hybrid-basic,80,20,0.6743812316715543,0.10292599404114412,0.6743812316715543,3.332271674612141,0.20235446480434494,34.0,109.13976941401793
Hybrid-basic,90,10,0.37702834799609,0.109202964694212,0.37702834799609,3.740793969907736,0.10053975782901403,19.2,54.22606314621919
Hybrid-basic,95,5,0.22513391984359726,0.07782990662145661,0.22513391984359726,4.433461694039467,0.05069593289245664,11.6,27.342823552032854
Hybrid-plus-drainage-gu-stats,80,20,0.8330420332355816,0.06335442904162997,0.8330420332355816,4.129017621123064,0.20173939848583416,42.4,108.80125764644387
Hybrid-plus-drainage-gu-stats,90,10,0.6261016617790811,0.08903706030439906,0.6261016617790811,6.244419477601001,0.10025175768728256,32.2,54.067363140317866
Hybrid-plus-drainage-gu-stats,95,5,0.4064281524926686,0.14105624103591824,0.4064281524926686,8.266294468037753,0.049128677538459495,21.2,26.495875088406827
