model,percentile,top_percent,evaluated_point_recall_mean,evaluated_point_recall_std,all_point_recall_mean,evaluated_point_lift_mean,hotspot_area_share_mean,hit_points_mean,hotspot_area_km2_mean
Hybrid-basic,80,20,0.6743812316715543,0.10292599404114412,0.6743812316715543,3.3365286323603653,0.20212174847893336,34.0,109.01425399176692
Hybrid-basic,90,10,0.36676441837732165,0.1241803975659747,0.36676441837732165,3.641531007668438,0.10038553507517492,19.2,54.142883188669586
Hybrid-basic,95,5,0.2281642228739003,0.07749081834561432,0.2281642228739003,4.45283494192342,0.0511525772344422,11.8,27.58911442699184
Hybrid-plus-drainage-gu-stats,80,20,0.8330420332355816,0.06335442904162997,0.8330420332355816,4.130241059613274,0.2016849079695624,42.4,108.77187004667572
Hybrid-plus-drainage-gu-stats,90,10,0.6274623655913979,0.09859193671375648,0.6274623655913979,6.265660903566751,0.10016755198157257,32.0,54.021949667535566
Hybrid-plus-drainage-gu-stats,95,5,0.41345845552297167,0.13670855071256152,0.41345845552297167,8.371142475457422,0.04934238447420676,21.6,26.611130628730557
